sweep_axis,topology,p,n,n_over_p,alpha,n_splits,subsample_frac,n_active,edge_density,asymp_cov_all,asymp_cov_null,asymp_cov_active,ens_cov_all,ens_cov_null,ens_cov_active,nominal_coverage,error
topology,null,20,100,5,0.05,25,0.5,0,0.0,0.9944210526315791,0.9944210526315791,nan,0.7828947368421052,0.7828947368421052,nan,0.95,
topology,random,20,100,5,0.05,25,0.5,30,0.15789473684210525,0.9147894736842105,0.9813750000000002,0.5596666666666666,0.6997894736842105,0.8054375,0.1363333333333333,0.95,
topology,hub,20,100,5,0.05,25,0.5,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.7417368421052631,0.7949425287356323,0.163125,0.95,
topology,scale-free,20,100,5,0.05,25,0.5,19,0.1,0.9361052631578946,0.9853216374269005,0.49315789473684196,0.7191052631578948,0.782690058479532,0.14684210526315788,0.95,
topology,cluster,20,100,5,0.05,25,0.5,15,0.07894736842105263,0.9493157894736841,0.9897714285714286,0.47733333333333333,0.7782105263157894,0.8306285714285714,0.16666666666666663,0.95,
topology,dense,20,100,5,0.05,25,0.5,190,1.0,0.041263157894736835,nan,0.041263157894736835,5.263157894736842e-05,nan,5.263157894736842e-05,0.95,
n_over_p,hub,20,5,0.25,0.05,25,0.5,16,0.08421052631578947,1.0,1.0,1.0,0.9157894736842106,1.0,0.0,0.95,
n_over_p,hub,20,10,0.5,0.05,25,0.5,16,0.08421052631578947,0.9985789473684211,0.9985057471264368,0.999375,0.9053157894736843,0.9885632183908045,0.0,0.95,
n_over_p,hub,20,20,1,0.05,25,0.5,16,0.08421052631578947,0.9831052631578949,0.9956896551724135,0.84625,0.8682105263157893,0.9474137931034483,0.006875,0.95,
n_over_p,hub,20,40,2,0.05,25,0.5,16,0.08421052631578947,0.9484210526315789,0.9935057471264366,0.458125,0.8326842105263158,0.9037931034482757,0.059375,0.95,
n_over_p,hub,20,200,10,0.05,25,0.5,16,0.08421052631578947,0.9265263157894738,0.9732183908045977,0.41875,0.6252631578947369,0.6575287356321841,0.274375,0.95,
n_over_p,hub,20,400,20,0.05,25,0.5,16,0.08421052631578947,0.955578947368421,0.9983333333333332,0.490625,0.42863157894736836,0.45321839080459775,0.16125,0.95,
n_over_p,hub,20,1000,50,0.05,25,0.5,16,0.08421052631578947,0.9449999999999997,0.9983908045977011,0.364375,0.9091052631578946,0.9740229885057472,0.203125,0.95,
p,hub,2,10,5,0.05,25,0.5,1,1.0,0.73,nan,0.73,0.37,nan,0.37,0.95,
p,hub,3,15,5,0.05,25,0.5,1,0.3333333333333333,0.9433333333333335,0.99,0.85,0.3533333333333333,0.42,0.22,0.95,
p,hub,5,25,5,0.05,25,0.5,1,0.1,0.9760000000000002,0.9966666666666666,0.79,0.4690000000000001,0.49666666666666665,0.22,0.95,
p,hub,10,50,5,0.05,25,0.5,4,0.08888888888888889,0.9013333333333334,0.9621951219512194,0.2775,0.6513333333333334,0.6892682926829269,0.2625,0.95,
p,hub,50,250,5,0.05,25,0.5,99,0.08081632653061224,0.9411102040816327,0.9949023090586145,0.32929292929292925,0.8231102040816325,0.890879218472469,0.05232323232323233,0.95,
alpha,hub,20,100,5,0.01,25,0.5,16,0.08421052631578947,0.9672631578947367,0.9938505747126435,0.678125,0.8414736842105265,0.8987931034482759,0.218125,0.99,
alpha,hub,20,100,5,0.1,25,0.5,16,0.08421052631578947,0.9378421052631579,0.980632183908046,0.4725,0.6544736842105264,0.7018965517241379,0.13875,0.9,
alpha,hub,20,100,5,0.2,25,0.5,16,0.08421052631578947,0.9162631578947368,0.9667816091954025,0.366875,0.5,0.5364367816091954,0.10375,0.8,
n_splits,hub,20,100,5,0.05,2,0.5,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.9263157894736841,0.9768965517241378,0.37625,0.95,
n_splits,hub,20,100,5,0.05,5,0.5,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.9144736842105263,0.967183908045977,0.34125,0.95,
n_splits,hub,20,100,5,0.05,10,0.5,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.8722631578947371,0.9293103448275862,0.251875,0.95,
n_splits,hub,20,100,5,0.05,50,0.5,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.6013157894736841,0.6460344827586207,0.115,0.95,
n_splits,hub,20,100,5,0.05,100,0.5,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.439421052631579,0.47201149425287353,0.085,0.95,
subsample_frac,hub,20,100,5,0.05,25,0.1,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.9093684210526315,0.9929885057471263,0.0,0.95,
subsample_frac,hub,20,100,5,0.05,25,0.3,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.8307894736842105,0.8993678160919539,0.085,0.95,
subsample_frac,hub,20,100,5,0.05,25,0.7,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.6868947368421052,0.7348275862068965,0.165625,0.95,
subsample_frac,hub,20,100,5,0.05,25,0.9,16,0.08421052631578947,0.9495789473684211,0.986781609195402,0.545,0.6715263157894735,0.7248275862068965,0.091875,0.95,
