,RGS1,MID1IP1,SAP30,BTC,DUSP2,PRL,CCDC19,TMEM184B,CCDC66,BBC3,SYAP1,C1QA,ATG2A,IL10,KLHL21,HPGD,MIRLET7BHG,KCNK7,MADCAM1,CREM,KIAA0087,HMBOX1,NOV,MUC13,EPHB1,TIGD3,CCDC153,TGM3,LOC100507006,PPP1R12B,F11R,CD22,STYXL1,LRRC6,BTLA,DNAJB1,RPGRIP1,VNN3,KIAA1257,GK5,RELL1,ISY1-RAB43,DNAH12,PLEKHG3,KIR3DL1,ITPKB-IT1,JOSD1,SLC1A3,COL8A2,ADAMTS2,GRAMD1C,S1PR5,MME,SPARCL1,SCYL1,NUP133,FGF9,RGS9,KIR2DS4,LRRC2,LOC100131043,SAG,VPS18,ALDH1A1,VSIG4,MCM9,PRO0471,ZNF793,SYT1,BTG2,C1QB,IFRD1,COL6A6,ZNF230,IRS2,RAF1,HS3ST1,PLA2G7,CYMP,KALRN,CCDC7,PYGO1,KIR3DL3,RUNX2,MYBPH,TRIB1,NFASC,LOC100506403,SNORA21,CHI3L1,VMO1,TUFT1,NRG1,C1QC,DRD5,PIM2,XG,SEMA6B,STMN2,ERMN,GPR174,IKZF3,LRWD1,PIK3IP1,APOA5,GOT1,GLI3,PPP6R1,PRDM8,CPSF3L,UBN1,LOC100507616,CASS4,SYN2,CD86,NEK10,ZNF222,MINPP1,KIAA1841,PRKDC,CCDC147,SPAG9,IKBKB,FAM107A,CHSY1,P2RY1,FOXK2,LRRC31,GJB4,ALG2,UPK3A,KIR2DL5A,KIAA0319L,SPHKAP,MALAT1,CR2,RPS6KA5,KLF8,BTBD18,KIR2DL2,NSMAF,EXOC3L4,SPATA2L,ARFGAP3,AREG,BTNL3,FOSB,ACVRL1,MYOM2,OXR1,RFC3,CCDC151,HAL,EMR3,RTN1,HECW2,L2HGDH,ARAP3,TIGIT,KRTAP4-6,THRB,P2RY12,TTC18,INHBB
RGS1,1.0,1.0,0.08634288227821088,1.0,5.736354349086252e-19,1.0,1.0,1.0,0.18739958909611987,1.0,0.13594139631603339,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9251652881542145e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22400867748348985,1.0,1.0,1.0,1.0,1.0,1.0,0.20826193515917968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5095821841996715,1.0,0.0001816550130316344,1.0,1.0,0.995114523349734,1.0,1.0,1.0,0.3912105921526028,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09977609932243965,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5602060517413631,1.0,1.0,1.0,1.0,0.774132001091206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0002130939739675966,1.0,1.0,1.0,0.8449045328411695,0.3611618290021772,1.0,0.004744415153172682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.030454350610118e-11,1.0,1.0,1.0,1.0,1.0
MID1IP1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,4.23980744113078e-05,0.0,1.0,1.0,1.0,0.0773519785262608,1.0,1.0,1.0,1.0,1.0,1.0,2.080131896597243e-48,1.0,1.0,1.0,1.0,1.0228711860635574e-178,1.0,0.007154008528006371,1.0,1.0,1.0,1.0889529948454452e-132,1.0,0.13340377165386433,0.5290369706955138,4.0622173035095125e-83,1.0,1.0,1.0087464740274676e-51,1.0,0.9352787666259582,1.0,6.322669817084149e-180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1056399848114052,1.0,1.0,0.6113081336552773,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8842241877118427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1397810103128594e-78,1.0,1.0,1.0,1.0,1.0,3.4446978683650587e-96,1.0,1.0,1.0,1.0,0.4427443976368012,1.0,1.0,1.0,1.0,1.0,1.0,3.2125324405862467e-125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.971467403080858e-87,0.6887121279676371,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7227981875140643,1.0,1.0,1.0,0.04919062104825681,1.0,1.0,0.12013219743209397,1.0,1.0,1.0,2.3153699158818313e-06,9.969922683971317e-40,1.0,1.0,1.0,1.0,1.0,1.0
SAP30,0.08634288227821088,1.0,1.0,0.6653241278071818,0.01872223789644776,0.21407397741630463,1.0,7.005212778881202e-05,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2722964750944721,1.0,1.0,1.0,4.332413828751008e-09,1.0,1.0,1.0,1.0,1.0,0.04960057856829929,1.0,1.0,1.0,1.0,1.0,0.41886234273069145,0.6894900097155114,0.8067732067560274,1.0,9.665020832955224e-10,0.005441011729182314,1.0,1.0,8.551182397963122e-50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.64572317489542e-05,1.0,1.0,1.0,0.43145150349827655,1.0,1.0,1.0,1.0,1.0,5.335469900233062e-147,1.0,1.0,1.0,1.0,1.0,1.2273541545590676e-17,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.370743716572219e-88,1.0,1.0,1.0,1.0,1.0,0.7892495078504417,1.0,1.0,1.0,4.52570367728443e-07,1.0,1.0,2.2679831230224747e-10,1.0,0.0005656108361178666,0.108952204327682,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3836811272863435e-39,1.0,1.0,1.0,1.0,1.0401918619396758e-17,1.0,1.2183743656981564e-05,1.0,5.293454810309503e-109,1.0,0.8323682085247733,1.0,1.0,1.7901597739114604e-09,1.0,1.0,1.0,1.0,0.00237631551795262
BTC,1.0,1.0,0.6653241278071818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9458456947215338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5868066256333679,1.0,1.0,1.0,1.0,1.0,0.288018268956161,0.8962819436443068,0.6471075223040235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9932718885086268,1.0,0.8544428041958316,1.0,1.0,1.0,8.538151125722339e-06,1.0,1.0,1.0,0.4195402599599075,1.0,0.9243028735144718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9554593544686989,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8830971763261966,1.0,1.0,1.0,1.0,0.4159840827031003,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2819811115129013,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.09645566586380727,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1241046079424055e-06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6278648594895593,1.0,1.0,1.0,1.0,1.0,1.0,0.360459933099752,1.0,1.0,1.0,1.0,1.0,1.0,0.8752282255070752,1.0,1.0
DUSP2,5.736354349086252e-19,1.0,0.01872223789644776,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.4118474485878878e-20,1.0,1.0,0.0002786877050014242,1.0,0.3250617127031893,1.0,1.0,0.09056320352758218,1.0,1.0,1.0,1.1605192387514445e-06,1.0,1.0,0.4141274008756811,1.0,1.0,1.0,5.7908537825499684e-11,1.0,1.0,1.0,1.0,1.0,0.41791553105061574,1.0,0.9950370156445268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0006421352051319002,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95611127110608,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00010644701881420821,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.24160886349676336,0.5371874136214474,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33148736316386906,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01576425451871108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.854913208470566,1.0,1.0,1.0,1.0,1.0
PRL,1.0,1.0,0.21407397741630463,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.9919006361806355e-20,1.0,9.140011662579115e-12,1.0,1.0,1.0,1.0,1.0,0.3637467578235797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020577822410773428,0.019482666595706428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.006684127410517346,1.0,1.0,1.0,1.0,0.6023301903851046,1.0,0.8751888709153586,1.0,1.0,1.0,1.0,1.0,0.7810508036050584,1.0,1.0,4.26659526094763e-12,1.0,1.0,0.09788357831259198,1.0,1.0,0.00011329613627124949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.411880163781358e-07,0.704203007544308,0.00025848687015587763,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9260007198530469,1.0,1.8856423857485703e-16,1.0,1.0,1.0,1.0,1.0,0.3246094739307276,1.0,1.0,1.0,0.9097078349116425,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.882308244578838,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0005592386805891252,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.001289377858998383,1.0,1.0,1.0,1.0,1.0,2.8521881207090394e-05,1.0,0.7712793614498097,0.13229647061852806,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.507063767470203e-08,0.0008002372446155307,1.0,1.0,1.0,1.0,1.0,1.0,5.1428592221920996e-15,0.001231145716453309,1.0,1.0,1.0,1.0,1.0,1.0,2.1996483525500633e-35,1.0,1.0,1.0,1.0,1.0,1.0,0.14703665351055845,1.0,1.0,1.0,1.0,1.0,0.0,1.0,7.403923171522685e-61,0.0004214450046049852,1.0,0.0035884777399320424,1.0,1.0,1.0,1.2890242831001611e-26,1.0,1.0,0.002608003920807949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22236025724817532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.10299777263720143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1559695775951864,1.0,1.0,0.0054905589410834356,1.0,1.0,0.7941258970059974,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.011762585611766284,7.720429383472298e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.04785527369395568,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9429562287193018,1.0,1.0,2.4140039084915513e-06
TMEM184B,1.0,0.0,7.005212778881202e-05,1.0,1.0,1.0,1.0,1.0,1.0,9.755607219962002e-11,1.2404645072745934e-12,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.146870936958395e-13,0.0,1.0,1.0,1.0,1.0,1.0,0.00021261697931431142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.678179959882377e-302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.6752276008925839e-28,0.5431108704904062,1.0,1.0,1.0,1.0,1.0,0.6051523813997808,1.0,1.0,1.0,1.0,1.0,1.0,0.10806338208741174,1.0893719007185647e-81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,5.98392893039832e-37,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.6381994752352725e-43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9763519210271181,1.0,1.0,1.0,9.592274117694665e-71,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CCDC66,0.18739958909611987,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.6675869088047444e-10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7714638821693016,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.12619518558256423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.230725402914487e-07,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5893236266984174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004558023507841879,1.0,0.9964955605099919,1.0,1.0,1.0,0.6029547475415271,1.0,1.0,1.0,0.954650363333396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9952411697131214,1.0,1.0,1.0,1.0,1.0,0.2149123264469479,0.4640924412700409,0.25721756001767293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4190910485595155,0.20203247908642863,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8567172452321912,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9217765283808776,1.0,1.0,1.0,1.0,1.0,1.0,1.0
BBC3,1.0,0.0,1.0,1.0,1.0,1.0,4.507063767470203e-08,9.755607219962002e-11,1.0,1.0,1.0,1.0,1.0,7.746906464260003e-45,0.025514032708996152,1.0,4.854945881337744e-16,1.0,0.25393221817522715,1.0,1.0,1.0,1.0,1.0,5.339456513639101e-08,1.0,0.02437596197968846,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08331967755174371,1.0,1.0,2.5859472146893582e-27,1.0,2.7988870884819093e-245,1.0,1.0638854572147449e-237,1.0,1.0,1.0,0.17591058325374553,0.19453993954742776,3.4020986323559105e-05,1.0,1.0,5.1553518593095e-07,1.0,1.0,1.0,1.0,1.0,1.0,7.87044062195252e-13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48144523638873893,1.0,1.0,1.0,1.0972851224274118e-14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.430959936397442e-26,1.0,0.42901770621685986,1.0,1.0,1.0,1.0,4.262421638949164e-08,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07998254178345318,1.0,3.805704514055502e-05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5750241474088108,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5190896837825623e-22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008579187584174312
