,RGS1,MID1IP1,SAP30,BTC,DUSP2,PRL,CCDC19,TMEM184B,CCDC66,BBC3,SYAP1,C1QA,ATG2A,IL10,KLHL21,HPGD,MIRLET7BHG,KCNK7,MADCAM1,CREM,KIAA0087,HMBOX1,NOV,MUC13,EPHB1,TIGD3,CCDC153,TGM3,LOC100507006,PPP1R12B,F11R,CD22,STYXL1,LRRC6,BTLA,DNAJB1,RPGRIP1,VNN3,KIAA1257,GK5,RELL1,ISY1-RAB43,DNAH12,PLEKHG3,KIR3DL1,ITPKB-IT1,JOSD1,SLC1A3,COL8A2,ADAMTS2,GRAMD1C,S1PR5,MME,SPARCL1,SCYL1,NUP133,FGF9,RGS9,KIR2DS4,LRRC2,LOC100131043,SAG,VPS18,ALDH1A1,VSIG4,MCM9,PRO0471,ZNF793,SYT1,BTG2,C1QB,IFRD1,COL6A6,ZNF230,IRS2,RAF1,HS3ST1,PLA2G7,CYMP,KALRN,CCDC7,PYGO1,KIR3DL3,RUNX2,MYBPH,TRIB1,NFASC,LOC100506403,SNORA21,CHI3L1,VMO1,TUFT1,NRG1,C1QC,DRD5,PIM2,XG,SEMA6B,STMN2,ERMN,GPR174,IKZF3,LRWD1,PIK3IP1,APOA5,GOT1,GLI3,PPP6R1,PRDM8,CPSF3L,UBN1,LOC100507616,CASS4,SYN2,CD86,NEK10,ZNF222,MINPP1,KIAA1841,PRKDC,CCDC147,SPAG9,IKBKB,FAM107A,CHSY1,P2RY1,FOXK2,LRRC31,GJB4,ALG2,UPK3A,KIR2DL5A,KIAA0319L,SPHKAP,MALAT1,CR2,RPS6KA5,KLF8,BTBD18,KIR2DL2,NSMAF,EXOC3L4,SPATA2L,ARFGAP3,AREG,BTNL3,FOSB,ACVRL1,MYOM2,OXR1,RFC3,CCDC151,HAL,EMR3,RTN1,HECW2,L2HGDH,ARAP3,TIGIT,KRTAP4-6,THRB,P2RY12,TTC18,INHBB
RGS1,0.0,0.0,-1.7150127885630786,0.0,-8.897025076265269,0.0,-0.0,-0.0,-1.3183109134341264,0.0,-1.491076557240047,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-6.3671948644360326,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,1.2159376418489147,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-1.258359048139389,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.6594884130953585,-0.0,-3.7432504397696773,-0.0,-0.0,0.006123075214194975,-0.0,0.0,0.0,-0.857424014550726,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.6459400643802373,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.5825354777402296,0.0,-0.0,-0.0,0.0,-0.2869742967199053,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-3.7029653764296895,0.0,-0.0,-0.0,-0.1956239247409941,-0.9131534753317512,-0.0,2.8238934684650423,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-6.602953705437583,0.0,0.0,0.0,-0.0,0.0
MID1IP1,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-56.494371995590456,0.0,-41.42120924918402,-0.0,0.0,0.0,4.094007413925217,-153.96532646933665,0.0,-0.0,-0.0,-1.7662615534873867,0.0,0.0,0.0,-0.0,-0.0,-0.0,-14.620452503171698,-0.0,-0.0,0.0,-0.0,-28.50475201977992,0.0,-2.6895889180854002,0.0,-0.0,-0.0,-24.51242080522631,-0.0,-1.5008136325580628,0.6294767723281993,-19.314426071215525,0.0,-0.0,-15.131177191009028,0.0,-0.08120519691730105,0.0,28.60212174880312,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.61810493664179,-0.0,0.0,-0.5082070693745577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.1456164417359878,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.77815217670256,0.0,0.0,0.0,0.0,0.0,20.81094742813108,-0.0,0.0,-0.0,0.0,-0.7675671285981173,-0.0,0.0,0.0,-0.0,0.0,0.0,-23.801629114280345,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-19.757086229076606,-0.4006034190974793,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.3547215732077017,-0.0,-0.0,-0.0,1.9669357269932388,0.0,-0.0,-1.5542189557519195,-0.0,-0.0,-0.0,-4.723748268503155,-13.190366599787598,-0.0,0.0,0.0,-0.0,-0.0,-0.0
SAP30,-1.7150127885630786,-0.0,0.0,-0.43257421146711716,-2.3510158188434906,-1.242440779952758,0.0,-3.9761086562817147,0.0,0.0,-50.87544983330059,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-1.097789368074014,0.0,0.0,0.0,5.870974319879428,-0.0,0.0,0.0,-0.0,-0.0,-1.9633925521659799,-0.0,0.0,0.0,-0.0,0.0,-0.8083965407084455,0.3995472579572506,0.2445909052621133,-0.0,-6.114846072763212,2.779694151920511,-0.0,0.0,-14.836160794849798,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-90.83489423505594,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-4.1288561972306566,0.0,-0.0,0.0,0.7867102481976079,0.0,-0.0,-0.0,-0.0,-0.0,25.819651818486125,0.0,0.0,-0.0,0.0,0.0,8.550331569687389,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-19.858145438449235,0.0,-0.0,-0.0,-0.0,-0.0,-0.26728529509723564,0.0,-0.0,0.0,-5.0454013444237065,0.0,-0.0,-6.342002040124882,-0.0,-3.447590521177498,1.6029205125256334,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-13.165635684564814,0.0,0.0,-0.0,0.0,-8.569407111231328,0.0,-4.374273703321443,0.0,22.180544391489846,0.0,-0.21166523944567145,0.0,0.0,6.015785962986417,0.0,0.0,0.0,0.0,-3.0386616833725677
BTC,0.0,0.0,-0.43257421146711716,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0679245513642703,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.543469441120339,0.0,0.0,0.0,0.0,0.0,1.062479038711291,-0.13035958062015934,0.45778415258943855,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.008432537184870968,0.0,-0.18345273135893436,0.0,-0.0,0.0,-4.451225784161935,0.0,-0.0,-0.0,-0.8072191060740409,0.0,-0.09501504914119663,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.05585244572404184,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.1470441450096276,0.0,-0.0,0.0,0.0,0.813408159506044,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,1.0758795888783532,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.6622848905702,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-4.86856691289468,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.4847342618120673,0.0,0.0,-0.0,0.0,0.0,0.0,0.91448904222159,-0.0,-0.0,0.0,0.0,0.0,0.0,0.15702109171686382,0.0,-0.0
DUSP2,-8.897025076265269,0.0,-2.3510158188434906,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,9.299441944882059,0.0,0.0,-3.6343450318016166,-0.0,-0.9841094261998264,0.0,-0.0,1.6924342661536207,0.0,0.0,-0.0,-4.862261915281364,-0.0,-0.0,0.8166518748862531,0.0,-0.0,-0.0,-6.549038924967364,0.0,0.0,0.0,-0.0,0.0,-0.8100428806333098,-0.0,-0.006220218566960139,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-3.413163008933659,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.05503413259917493,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-3.875406109727218,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-1.1709749072313664,0.6170717310755236,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.971122334303834,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-2.414328218513355,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.18285319515966247,-0.0,0.0,0.0,-0.0,-0.0
PRL,0.0,-0.0,-1.242440779952758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.188275322524936,-0.0,-6.819433646972406,-0.0,-0.0,0.0,0.0,0.0,-0.908248854430227,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.315642022428763,-2.3361645600412735,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-2.7121850126541336,-0.0,0.0,0.0,-0.0,-0.5210525126492505,0.0,0.15707102739511722,0.0,-0.0,-0.0,0.0,-0.0,0.2779499185242242,0.0,0.0,-6.928057106212699,0.0,0.0,1.6552017601990627,-0.0,0.0,-3.8601959483271844,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.978379623611192,0.37965300724337253,3.6537013891009087,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.09287770267549596,-0.0,8.229138764532625,0.0,0.0,0.0,-0.0,0.0,0.9850297175203419,0.0,0.0,0.0,0.11340706989062689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14804374562354794,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,3.4506498164727826,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-3.218333541787465,0.0,0.0,0.0,-0.0,0.0,-4.18495801566731,0.0,-0.2907018436368162,-1.505107385172697,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0
CCDC19,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-5.469736015246114,-3.3527127077057552,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-7.823367724628192,-3.2315644145590983,0.0,-0.0,0.0,-0.0,0.0,-0.0,-12.413798261354058,-0.0,0.0,-0.0,-0.0,-0.0,0.0,1.450078415201306,-0.0,0.0,-0.0,-0.0,-0.0,-81.63039474740836,-0.0,-16.45754820608018,-3.5262775754020574,-0.0,-2.9122391542174086,-0.0,-0.0,0.0,10.678085607312005,0.0,-0.0,-3.0105204421211145,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.2202760196293667,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-1.6304909676976467,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-1.418758012690167,0.0,-0.0,-2.7767488334013395,-0.0,0.0,0.26095670248770136,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.519187933452094,-5.373543208624094,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.9786513521861622,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0715547792337781,-0.0,-0.0,-4.715261601664916
TMEM184B,-0.0,-56.494371995590456,-3.9761086562817147,-0.0,0.0,0.0,-0.0,0.0,-0.0,-6.470690503270801,-7.100789214602677,0.0,-50.61207352679927,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-7.287958402421212,-196.74394490824943,0.0,-0.0,0.0,0.0,-0.0,-3.703533631069559,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-37.154721765415346,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,11.074117328010278,-0.6081155034031226,0.0,0.0,-0.0,0.0,0.0,-0.5170054112468837,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-1.6069589102169033,-19.143840191542743,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-68.41917905269531,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-12.699066393485671,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-13.774314520375471,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.029642812296624556,-0.0,0.0,-0.0,-17.782880441843005,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0
CCDC66,-1.3183109134341264,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-6.316959942428439,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.29046060857043543,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-1.5292794348053833,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-4.907366905397693,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.5398164423069234,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-2.8367153036430337,0.0,-0.00439217767790088,-0.0,-0.0,0.0,-0.5201561467852558,0.0,0.0,0.0,0.056867977418883435,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.005964344637451352,-0.0,-0.0,0.0,-0.0,0.0,1.240170529085488,-0.7321247292619203,-1.1329921258656348,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.8079991897815433,1.2757823199829925,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.18055453477435052,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.09819616406089428,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0
BBC3,0.0,-41.42120924918402,0.0,-0.0,0.0,0.0,-5.469736015246114,-6.470690503270801,0.0,0.0,-0.0,0.0,-0.0,14.049601187184791,-2.233529719784289,0.0,-8.11507257242394,-0.0,-1.14085031538556,0.0,-0.0,0.0,-0.0,0.0,-5.439619232088283,-0.0,-2.251151208417752,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.7317410539334623,0.0,0.0,-10.826226084345686,0.0,-33.44749514635817,0.0,-32.92202562234412,-0.0,0.0,0.0,1.3534541655627421,-1.2972652415002544,4.144733010117082,-0.0,-0.0,-5.020439009538588,0.0,0.0,-0.0,-0.0,-0.0,-0.0,7.163392812234043,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.7039799878638039,0.0,-0.0,-0.0,-7.727442717438196,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-10.619021459938466,0.0,-0.7908736842747713,-0.0,-0.0,0.0,0.0,-5.479619218198594,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,1.7507873768115705,0.0,4.118969535579703,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.5606676162734299,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-9.769694814390824,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-2.6283829455677092
