gene	delta
RGS1	0.0
MID1IP1	0.0
SAP30	0.0
BTC	0.0
DUSP2	0.0
PRL	0.0
CCDC19	0.0
TMEM184B	0.0
CCDC66	0.0
BBC3	0.0
SYAP1	0.0
C1QA	0.0
ATG2A	0.0
IL10	0.0
KLHL21	0.0
HPGD	0.0
MIRLET7BHG	0.0
KCNK7	0.0
MADCAM1	0.0
CREM	0.0
KIAA0087	0.0
HMBOX1	0.0
NOV	0.0
MUC13	0.0
EPHB1	0.0
TIGD3	0.0
CCDC153	0.0
TGM3	0.0
LOC100507006	0.0
PPP1R12B	0.0
F11R	0.0
CD22	0.0
STYXL1	0.0
LRRC6	0.0
BTLA	0.0
DNAJB1	0.0
RPGRIP1	0.0
VNN3	0.0
KIAA1257	1.0
GK5	0.0
RELL1	0.0
ISY1-RAB43	0.0
DNAH12	0.0
PLEKHG3	0.0
KIR3DL1	0.0
ITPKB-IT1	0.0
JOSD1	0.0
SLC1A3	0.0
COL8A2	0.0
ADAMTS2	0.0
GRAMD1C	0.0
S1PR5	0.0
MME	0.0
SPARCL1	0.0
SCYL1	0.0
NUP133	0.0
FGF9	0.0
RGS9	0.0
KIR2DS4	0.0
LRRC2	0.0
LOC100131043	0.0
SAG	0.0
VPS18	0.0
ALDH1A1	0.0
VSIG4	0.0
MCM9	0.0
PRO0471	0.0
ZNF793	0.0
SYT1	0.0
BTG2	0.0
C1QB	0.0
IFRD1	0.0
COL6A6	0.0
ZNF230	0.0
IRS2	0.0
RAF1	0.0
HS3ST1	0.0
PLA2G7	0.0
CYMP	0.0
KALRN	0.0
CCDC7	0.0
PYGO1	0.0
KIR3DL3	0.0
RUNX2	0.0
MYBPH	0.0
TRIB1	0.0
NFASC	0.0
LOC100506403	0.0
SNORA21	0.0
CHI3L1	0.0
VMO1	0.0
TUFT1	0.0
NRG1	0.0
C1QC	0.0
DRD5	0.0
PIM2	0.0
XG	0.0
SEMA6B	0.0
STMN2	0.0
ERMN	0.0
GPR174	0.0
IKZF3	0.0
LRWD1	0.0
PIK3IP1	0.0
APOA5	0.0
GOT1	0.0
GLI3	0.0
PPP6R1	0.0
PRDM8	0.0
CPSF3L	0.0
UBN1	0.0
LOC100507616	0.0
CASS4	0.0
SYN2	0.0
CD86	0.0
NEK10	0.0
ZNF222	0.0
MINPP1	0.0
KIAA1841	0.0
PRKDC	0.0
CCDC147	0.0
SPAG9	0.0
IKBKB	0.0
FAM107A	0.0
CHSY1	0.0
P2RY1	0.0
FOXK2	0.0
LRRC31	0.0
GJB4	0.0
ALG2	0.0
UPK3A	0.0
KIR2DL5A	0.0
KIAA0319L	0.0
SPHKAP	0.0
MALAT1	0.0
CR2	0.0
RPS6KA5	0.0
KLF8	0.0
BTBD18	0.0
KIR2DL2	0.0
NSMAF	0.0
EXOC3L4	0.0
SPATA2L	0.0
ARFGAP3	0.0
AREG	0.0
BTNL3	0.0
FOSB	0.0
ACVRL1	0.0
MYOM2	0.0
OXR1	0.0
RFC3	0.0
CCDC151	0.0
HAL	0.0
EMR3	0.0
RTN1	0.0
HECW2	0.0
L2HGDH	0.0
ARAP3	0.0
TIGIT	0.0
KRTAP4-6	0.0
THRB	0.0
P2RY12	0.0
TTC18	0.0
INHBB	0.0
